task_id,title,category,budget_aud,description_length,num_bids,poster_account_age_days,poster_avg_rating,poster_completed_tasks,payment_method_verified,is_rush,asks_contact_outside,suspicious_keyword_count,fraud_type,is_fraud
ea5be316-0957-44dc-82dc-becff4589049,Event photography,Moving,367.56,182,14,69,3.7,18,1,1,1,0,none,0
c296eb8a-cafb-4322-a5b5-2bfbd806a76c,Math tutoring,IT Support,325.65,107,9,627,4.0,79,1,0,0,1,none,0
fd315ba1-18c9-4bb6-89c6-d01de47d0082,Electrical repair,IT Support,260.29,223,12,179,3.7,45,0,0,0,1,none,0
4047796f-5ace-4da3-abaf-0b00f08dacd4,Logo design,Electrical,437.01,290,22,528,4.0,51,1,0,0,1,none,0
c70b7779-c91f-465f-a8ea-7cfbd939f62b,Garden trim needed,Photography,413.14,131,25,541,4.5,63,1,0,0,1,none,0
a02af80e-9c4e-44ae-beb6-c14a81d1f897,Home cleaning service,Electrical,398.56,284,24,407,4.0,28,1,0,0,0,none,0
37ab7722-37fd-4fbf-a9d6-ddea291ed9d5,Website bug fix,IT Support,224.01,196,21,190,4.9,52,1,1,0,1,none,0
ffb3a258-3772-47ad-95f2-09fc3d8e7484,Need help moving furniture,Tutoring,408.43,216,21,619,4.5,56,1,0,0,1,none,0
988ff4cc-f07a-44b0-a075-de4b8e9c217f,Website bug fix,Plumbing,355.83,228,20,305,3.6,31,1,0,1,0,none,0
d4e9a527-6921-4311-b728-7bda32ca1eb6,EARN $500/DAY WORKING FROM HOME!!!,Plumbing,4242.63,24,0,6,1.2,2,0,0,1,2,unrealistic_pay,1
7351b609-24be-4d85-bc07-14696b4ff080,Work from home unlimited earnings,Design,645.72,58,2,3,1.6,0,0,1,0,2,unrealistic_pay,1
afa74318-7f5b-4324-9e7f-3be45e2ad1f0,Website bug fix,Tutoring,215.6,291,5,547,4.0,19,0,0,0,1,none,0
13856044-ef4b-41d3-bee4-4d8244221a2a,Garden trim needed,Delivery,340.19,133,8,234,3.7,67,1,0,0,1,none,0
88aad02f-ee03-4034-a0fd-e347f272738b,Math tutoring,Photography,111.64,177,17,181,4.2,7,1,0,0,1,none,0
e642d58e-2d22-48b6-a689-fa3321a092f9,Data entry job send bank details,Gardening,4171.04,66,2,5,0.6,0,0,1,1,3,fake_job,1
189abe6f-d9d2-4b95-905e-77c48cd29a02,Event photography,Photography,435.54,247,7,325,4.3,42,1,0,1,0,none,0
692a4cb0-f76e-439e-8717-2dcbbd6532bb,Math tutoring,Electrical,145.14,113,11,527,4.6,48,1,1,0,0,none,0
1c5d1055-c3bc-475c-bd3f-febba2f5980d,Event photography,Delivery,332.0,191,18,500,4.4,6,1,0,0,0,none,0
1e11c6ed-ab03-40cd-b7a6-d05dde3afadf,Re-ship luxury items earn $1000/week,Photography,4842.29,71,3,0,0.1,0,0,0,1,2,reshipping,1
cce8cd63-3606-4320-9d9c-8676e006c39f,Easy money click ads all day,Moving,4071.63,52,1,1,2.5,0,0,1,1,3,reshipping,1
9de55fd3-ae4d-4f16-baa8-da7a2eb99e07,Need help moving furniture,Photography,134.34,110,23,181,4.9,40,0,0,0,0,none,0
17a110c8-fe26-492e-84e4-eee169fd7bdb,Urgent wire transfer agent needed,Tutoring,4550.79,28,0,4,0.1,2,0,1,1,1,upfront_fee,1
a9c64219-917a-4798-ba32-f03233e33ab3,Math tutoring,Delivery,478.49,157,21,545,5.0,75,1,0,0,0,none,0
2e1c51a2-352f-4209-be06-05211564921c,Home cleaning service,Delivery,294.2,257,11,527,3.7,36,1,0,0,0,none,0
b9f9b26b-a8c2-4299-a860-a5b52a1c51bb,Home cleaning service,Gardening,269.01,226,9,456,4.2,44,1,0,0,1,none,0
c040350f-7dc0-44d6-9063-4a2b4e355a13,Need help moving furniture,Delivery,374.14,117,18,724,3.5,27,1,0,0,0,none,0
a694584c-a414-4cba-a02d-75045c73c8a4,Mystery shopper upfront fee required,Cleaning,606.65,25,0,3,2.4,2,0,0,1,2,reshipping,1
38f7a559-a138-492f-bc94-b192ee098117,Re-ship luxury items earn $1000/week,Plumbing,1198.05,32,0,0,2.0,1,0,0,0,2,upfront_fee,1
1e0a67e2-2ace-4f17-8a46-da637c0edac8,Fix leaking tap,Photography,142.38,197,23,197,4.1,15,0,0,0,0,none,0
0bd0dc82-b8f2-457f-99e3-3fae442bbb63,Fix leaking tap,Delivery,291.28,135,10,450,4.8,31,1,0,0,0,none,0
224ac653-81fa-499f-8bc4-1cf3135388cb,Need help moving furniture,Electrical,52.29,242,22,243,4.6,9,1,0,0,0,none,0
599030d8-4f2d-46b1-afaa-6b6ca9febf7a,Home cleaning service,Plumbing,341.74,218,18,502,3.6,75,1,0,0,1,none,0
8613f1a0-4e34-45f3-b49b-6c543e2d33ef,Garden trim needed,Photography,351.95,263,5,108,5.0,20,0,1,0,1,none,0
e9106141-0661-45a6-badf-407079ab7490,Deliver package,Electrical,265.93,105,12,310,4.2,17,1,0,0,1,none,0
51d31cdb-bc99-40d4-96d6-70c309251ee5,Garden trim needed,Moving,186.13,271,21,187,4.6,28,1,0,0,1,none,0
a3b55f4c-9121-43b2-beec-bf218c9903bc,Electrical repair,Tutoring,365.01,154,18,364,3.7,76,0,0,0,0,none,0
e2434436-4e12-4aa2-9ef1-14fa3f18669e,Garden trim needed,Photography,436.42,300,5,540,3.6,45,1,0,0,1,none,0
af87e5fc-63d5-41ca-9582-0d6e3fd4bc1f,Logo design,Tutoring,307.89,184,21,609,4.9,43,1,0,0,0,none,0
da18a409-5c5f-4000-b9d3-a56e3ee8b348,Home cleaning service,Tutoring,110.23,154,12,475,3.6,54,1,0,0,1,none,0
c458adca-29b0-4025-8012-b0b4710e173e,Urgent wire transfer agent needed,Delivery,2854.4,24,0,2,0.4,0,0,1,1,4,reshipping,1
b000b8bd-00cb-44a2-83aa-ab514de75ecd,Electrical repair,Gardening,170.02,225,5,170,3.9,49,1,0,0,0,none,0
38fccbfa-a719-421f-90ce-2799ea9a18f8,Electrical repair,Design,432.94,274,24,48,4.3,11,1,0,0,1,none,0
3d87378f-60d0-470c-852c-5b5f0c6d3eaf,Work from home unlimited earnings,Design,4250.13,51,2,4,1.9,1,0,1,1,2,unrealistic_pay,1
750e778a-09e9-4c92-9aa2-f4591565d5b2,Deliver package,Electrical,312.93,251,22,703,4.7,80,0,0,0,0,none,0
f149c761-8805-4fd2-9536-02a887095d1e,Need help moving furniture,Cleaning,382.46,234,6,543,4.1,67,1,0,1,0,none,0
ade2fa3a-0a88-4ed2-9ce9-f7d3ea93780c,Need help moving furniture,Delivery,316.73,286,10,375,3.9,9,1,0,0,1,none,0
fbf1592f-a10f-4340-963d-870ff320a6e3,Website bug fix,Tutoring,359.1,126,25,544,4.4,29,0,0,0,0,none,0
6658be4e-0c75-496c-83dd-44b14b328150,Math tutoring,Photography,170.41,206,15,287,4.4,63,1,0,0,0,none,0
c092f514-4dbb-4cbc-90cb-9ab6dd8c18f8,Deliver package,Design,108.66,200,23,415,4.9,74,1,0,0,0,none,0
28838f71-2469-4c0d-9c94-621b2020568a,Electrical repair,Photography,52.61,283,21,676,4.5,78,1,0,0,0,none,0
1bb2144b-5b14-41e8-8790-572e4a06ce53,Electrical repair,Moving,410.89,213,3,667,3.6,73,0,0,0,1,none,0
0719dab8-e845-4765-9e14-330a83ad115d,Event photography,Electrical,354.31,240,17,349,4.9,53,1,0,0,1,none,0
9ae22a76-8433-4917-9d3a-0a0f44ee253c,Garden trim needed,Gardening,120.75,201,7,631,4.4,37,0,0,0,1,none,0
abee74b0-e00c-44bd-bc33-7e4d69ed3eae,Guaranteed income send $50 fee,Delivery,2181.16,80,3,1,0.8,1,0,1,0,4,unrealistic_pay,1
c4c71708-a5a2-4639-b137-03c4966b94ff,Math tutoring,Tutoring,353.1,221,12,440,3.7,45,1,0,0,0,none,0
f882db6c-a2ed-4ac7-8f41-0b5a52987cae,Garden trim needed,IT Support,295.56,104,25,493,5.0,79,1,0,0,1,none,0
