transaction_id,amount_aud,hour_of_day,chargeback_history,failed_attempts_24h,velocity_score,new_payment_method,is_cross_border,is_round_amount,fraud_type,is_fraud
9c2d9c5b-99fc-43ee-a145-d4a264bbd9f8,367.35,14,0,1,0.174,0,0,0,none,0
11efa87f-608e-4ec7-8057-08f092482ef0,333.82,17,0,0,0.238,0,1,0,none,0
3905654a-ba74-48c8-9f5d-bfea698d5cfe,89.58,15,0,1,0.06,0,0,1,none,0
834e1f6e-351a-4422-9564-b6d819c01dd8,252.85,9,0,0,0.292,1,0,0,none,0
6fd1f102-0643-40a0-b1e6-c1431ccad13a,228.32,7,0,1,0.096,0,0,0,none,0
f9d50228-97d6-4dda-a799-ab22cd25bce6,4979.51,5,4,2,0.717,1,1,0,chargeback_fraud,1
4f48f07b-2f5e-45f0-9342-3905bacf5fcb,150.25,20,0,1,0.1,0,1,0,none,0
8c29b3da-f0e8-4091-8251-3caff3ae48e8,123.99,8,0,0,0.139,1,0,0,none,0
28bbc7bc-5fb6-4f8e-b6db-4fbd42ad62e5,273.56,14,0,1,0.166,0,0,0,none,0
d06fa3c8-3201-4516-9cea-7528ec7c7c53,132.07,17,0,0,0.299,1,0,0,none,0
19497906-bed6-4fc1-8f8b-d916a0f30656,164.2,9,0,1,0.133,1,0,1,none,0
a2f27c10-d132-4f43-b9c1-41218cfdf9d8,148.33,20,0,0,0.177,0,0,0,none,0
810bf6d8-69b4-44aa-8288-4242b9b2561f,394.45,15,0,0,0.295,1,0,0,none,0
d0ff9934-1c7c-447f-9f52-3e5d8ac2bf3a,100.45,19,0,1,0.278,0,0,1,none,0
bccd1d16-f761-4cd6-bd60-a21a266ee2ac,71.94,17,0,0,0.259,0,0,0,none,0
0f243e84-0b6b-4f3b-8491-64bae52f2f54,86.6,7,0,0,0.141,1,0,0,none,0
8a5850ba-40ed-43c8-895b-2c1301e1ec2c,853.45,0,5,9,0.836,1,0,1,stolen_card,1
94218f69-0bba-4ff1-b67f-a87f24f314a5,4939.12,1,2,10,0.842,1,1,1,unusual_amount,1
12a79228-ac86-407d-ae6b-1febb30eef4e,79.05,13,0,0,0.237,0,0,0,none,0
b8dc55cc-acd7-497a-8936-a1fc1f50118f,259.47,13,0,0,0.211,0,0,0,none,0
be1eadab-8fed-4046-8043-7e65ff3adad5,355.24,15,0,0,0.114,0,0,1,none,0
37b02477-308f-4943-8be8-7a6f636b5a66,105.15,7,0,0,0.272,1,0,0,none,0
3cb43d4f-3371-48d1-a596-6c999580de63,384.59,15,0,0,0.206,0,1,0,none,0
4d2a84fb-6871-4916-95bb-73da041ae8aa,285.07,22,0,1,0.265,0,0,0,none,0
e8d638e0-affc-466a-b118-10485fb12fbc,338.04,10,0,1,0.179,0,0,0,none,0
d743ef51-324e-40ce-aa3d-555be735d69d,356.27,20,0,1,0.172,0,0,0,none,0
c5246a86-819a-4b52-8da8-2c3282823b73,54.26,15,0,0,0.262,1,0,0,none,0
a08ced83-9653-4d7c-ae28-db6f276ae42a,52.88,13,0,0,0.023,0,0,0,none,0
852d6cc8-a566-46fc-b82b-754ca6eea47f,307.67,20,0,1,0.13,0,0,0,none,0
33f9a6cf-ad48-436e-8d83-40a8e5021581,356.79,15,0,0,0.059,0,0,0,none,0
6aa6ac1e-ae3d-4643-b00d-15eff6edf37c,247.34,11,0,1,0.082,0,0,0,none,0
d2d652e6-514c-4a6e-82b4-562b0a928cc6,254.88,12,0,1,0.294,0,0,0,none,0
719c4085-d27c-4f66-a799-17f23fcb8a78,273.47,21,0,0,0.13,0,0,1,none,0
957bc7d6-cdf7-4beb-82ba-39b66aedf179,34.31,16,0,1,0.06,0,0,0,none,0
ca41db02-8740-4b2c-9a79-00706cb2ecdc,1026.53,3,5,7,0.964,1,0,0,money_laundering,1
59e32ae4-c35b-495c-9087-27b0fc6803d6,331.13,20,0,0,0.209,0,0,0,none,0
789252cb-074b-45a3-b1ac-50ee6db247f3,160.47,11,0,1,0.056,0,0,0,none,0
9c44a2af-1b3f-4c23-8546-e4f041c3e187,244.66,16,0,0,0.114,0,1,0,none,0
97983adb-6ead-46bc-965a-4f6f12691c12,2484.26,1,1,9,0.744,0,0,1,stolen_card,1
65ee83be-86d7-487f-b29c-355c82f3bdb9,625.73,23,4,3,0.777,1,1,1,chargeback_fraud,1
220d7243-42f5-4e25-87ee-3530ca36b4e5,337.91,16,0,1,0.135,0,0,0,none,0
80563ab8-a60c-4632-8d6c-689519081b91,1499.94,4,2,10,0.788,1,1,1,money_laundering,1
08002f0d-1a7a-4a5a-a991-6c69263eadc7,2553.25,0,3,7,0.893,1,1,1,chargeback_fraud,1
39278bc9-617f-41b0-a514-9a41d202f961,369.1,7,0,0,0.282,0,0,0,none,0
8b7dad9b-1aca-4536-8841-b5bad5225fc5,308.31,12,0,1,0.046,0,0,0,none,0
7bd55bdd-9c96-479d-8fd3-148d0c718574,1590.47,4,2,9,0.791,0,1,1,stolen_card,1
ad7b7f9e-42b9-421b-ab56-1f83ec168748,100.31,14,0,0,0.111,0,0,0,none,0
05507781-3703-4abe-945c-c03501e3c6a6,213.97,8,0,1,0.269,0,0,0,none,0
42cfc986-9198-46c3-8a6c-972b61179aa5,32.03,8,0,1,0.158,0,0,0,none,0
af2e79f7-c760-4c83-8ae7-81e416fc7825,316.99,14,0,1,0.246,0,0,0,none,0
48456e76-5d83-44b2-9031-6b0006a20b71,162.31,22,0,1,0.235,0,0,0,none,0
2a8504b2-0708-48b6-a0ac-68295c8271f5,391.53,14,0,0,0.032,0,0,0,none,0
113d4c0f-b076-44e8-8834-f4a11cfed3dd,149.71,15,0,1,0.107,0,0,0,none,0
b3600e42-d4c5-40f5-986a-260c1b174130,284.96,10,0,0,0.105,1,0,0,none,0
cfa7de01-a6d5-4b56-83aa-d1c273f0922b,224.78,18,0,1,0.01,1,0,0,none,0
b1e2530d-9b6e-4865-82cc-776a61183fce,43.71,18,0,0,0.072,0,1,0,none,0
efa7f94c-c614-49d9-b803-5d0a655e1e25,363.17,8,0,1,0.031,0,0,0,none,0
d2a8408d-4a31-4725-92b8-481fbbe0d848,123.96,13,0,0,0.256,0,0,0,none,0
17718f04-268a-4ad8-9bc7-f60e81a09f42,399.0,7,0,0,0.144,0,0,0,none,0
651403e4-ffa7-417b-a758-4de4adef7f34,24.08,18,0,1,0.088,1,1,0,none,0
97fcb1d8-a1a4-4884-903d-b8fb3d5d586e,3008.89,4,4,2,0.914,1,1,0,unusual_amount,1
70bb2aab-9b54-452c-883a-7030732d8d3c,393.02,9,0,0,0.097,1,0,0,none,0
34794527-6925-45b3-9803-0c2c5ffb8b4b,2947.1,2,3,9,0.794,1,1,1,unusual_amount,1
6a8547d7-8d1d-4f36-b9c4-377c119c2795,279.51,12,0,0,0.113,1,0,0,none,0
f51b1224-3b88-4d67-a7e6-0f25e4de56b3,372.99,8,0,1,0.2,0,0,0,none,0
626a9924-d0e3-4af9-b743-13ed40997073,139.88,22,0,1,0.004,0,0,1,none,0
d1754c45-9a23-4ec0-bd3a-a842332cdfb9,221.04,8,0,1,0.015,0,0,0,none,0
28f117e4-a3cf-4bd5-ad26-22d07edf7865,235.67,11,0,1,0.025,0,0,0,none,0
962990ce-59f3-491e-8ca6-2a26e7cc483f,222.19,15,0,1,0.148,0,0,1,none,0
321cf243-5a74-4d45-aa91-f8a04ece64a5,165.46,16,0,1,0.097,0,0,0,none,0
9739f0f7-3240-4c4b-b466-c87e97beb835,209.53,17,0,0,0.164,0,0,0,none,0
49517b52-f346-4996-bbc8-d35a80369b99,260.39,17,0,0,0.1,0,0,0,none,0
3cf59675-5e3f-49b3-b2fd-890234bf9554,137.87,12,0,1,0.134,0,0,0,none,0
d0c9f753-ff1d-4254-95f6-ad02e52da2aa,284.54,22,0,0,0.067,0,0,0,none,0
11095fe4-722a-4b6a-b129-6a43284eeb86,147.16,16,0,1,0.247,0,0,0,none,0
498f1ae5-a4f9-47b1-9e07-2e648accf297,117.95,9,0,0,0.124,0,0,0,none,0
c15da1ca-6f59-4ee4-a6de-ac622910b13a,17.68,18,0,1,0.272,0,0,0,none,0
744bc642-7d41-424e-b6e4-3c1bbdba5ac2,148.91,21,0,0,0.074,1,0,0,none,0
bcd58446-d11a-49cf-b163-ffc7684141c6,162.85,9,0,1,0.121,0,1,0,none,0
331731e4-075d-4d10-9a74-1096a1164142,253.87,8,0,1,0.178,0,0,0,none,0
2e7b05f2-82d0-4037-8d24-0c2cadc9773a,123.65,10,0,0,0.052,1,0,1,none,0
8b649f1a-68f0-4ca9-bc15-7ada67073eb5,391.29,16,0,0,0.261,1,0,1,none,0
40615137-075d-4092-a029-464f44723254,257.75,15,0,0,0.227,0,0,0,none,0
843118c2-808e-48fd-b15f-be3437fa3dac,49.17,16,0,0,0.123,0,0,0,none,0
9a2e6688-d335-480a-b0d9-6d648b7b359a,2760.38,2,2,8,0.964,0,0,1,chargeback_fraud,1
076e14d0-bf1e-41c1-b808-0e6d61e432cc,12.36,7,0,0,0.07,1,0,0,none,0
1a750e52-ac8b-41e9-bde4-7a65a7cbdca4,358.04,18,0,0,0.278,0,0,0,none,0
795c39fa-8940-4b16-b6ef-a7f33837b395,336.3,9,0,1,0.182,1,0,0,none,0
90ac87a5-813a-4ba0-bf32-3c06e626f833,126.9,15,0,0,0.213,0,0,1,none,0
81c82802-6f56-4824-b01f-837cbbcfc004,116.65,11,0,1,0.274,0,0,0,none,0
df6017a8-be80-46a2-b084-9b10e9395af7,393.01,13,0,1,0.195,1,0,0,none,0
b15b92d3-be52-4edf-b48d-e4da45d26382,293.02,9,0,1,0.065,1,0,1,none,0
98a9d776-4cbe-4b88-b561-960ad304ea12,54.61,8,0,1,0.123,0,0,1,none,0
45a45e01-4063-4d2d-8b56-defc6f8de12a,385.41,19,0,1,0.176,0,1,0,none,0
27dc2838-5697-473b-94b1-d33c1d930138,2987.03,4,4,2,0.775,1,0,1,stolen_card,1
c58dc0fe-eef9-409d-b3b5-51c805f2e84d,335.22,9,0,0,0.219,0,1,0,none,0
ac6e0c3c-a931-495b-a757-1c7869267efb,388.18,22,0,1,0.188,0,0,0,none,0
7af29670-14b3-4c8a-b50a-21630861e59b,4811.13,23,4,7,0.794,1,1,1,unusual_amount,1
5425e02d-c2a0-4a77-8c45-0f2d28fcfc27,17.87,18,0,0,0.131,0,0,0,none,0
38cce725-c1ba-4189-9a0f-e9d1ac618f4b,253.69,9,0,1,0.216,0,1,0,none,0
70497220-76eb-4070-8f2d-9da345b9c9fb,3550.19,0,2,8,0.897,1,0,1,money_laundering,1
c1698419-d9be-49aa-bdca-8ba2d1c31265,171.07,16,0,1,0.077,0,0,0,none,0
b204a6c1-14d4-4b5c-a0b5-3b66e5723977,153.66,17,0,0,0.041,0,0,0,none,0
772675b3-2d39-4f15-8648-d5980d3effeb,104.49,21,0,0,0.012,0,0,0,none,0
8d47d545-e559-4f05-9910-236b2304e029,208.87,20,0,1,0.073,1,0,0,none,0
e2a33cc3-783b-4d34-8130-8ddf8350b0e7,51.06,9,0,0,0.237,0,0,0,none,0
0d5ae47c-50a7-4ce2-9d67-d01df704ea20,374.34,12,0,0,0.182,1,0,0,none,0
4ee7cab7-a4c7-4045-9611-a3c191f7b787,60.87,19,0,1,0.268,0,1,0,none,0
fffe6090-ef81-41b6-a081-4eec0f57d6f6,1679.65,5,1,4,0.783,1,0,1,chargeback_fraud,1
32026f8d-5eb5-4f7d-9c4a-ec72d1719ece,263.5,13,0,0,0.136,0,0,1,none,0
0156f3b9-f978-41fc-ac58-8cb54a69ac66,333.05,11,0,1,0.106,0,0,0,none,0
9be45deb-5a91-4ed3-95b8-942c7f42026f,139.78,7,0,0,0.11,0,0,1,none,0
dfd3ab84-e0e9-4beb-8b15-da09590b1e04,125.06,19,0,1,0.047,0,0,0,none,0
37ce1822-4dff-4541-ad5a-fef1bc8ea09a,387.24,21,0,1,0.073,0,0,0,none,0
5867c088-2181-40c1-a942-5d6a7ff789e2,757.0,4,2,7,0.749,1,1,0,unusual_amount,1
d9d8aa70-6ec4-44c1-9ee9-0322a2726496,33.5,17,0,1,0.148,0,0,0,none,0
57d8fa8f-4947-4721-bca1-507ff2f8947e,21.44,16,0,1,0.07,0,0,0,none,0
f64384cb-5192-403e-87d6-6d9425f1d183,272.32,11,0,1,0.165,0,0,0,none,0
ca341712-fa4b-4460-909c-1871310a7917,362.36,18,0,0,0.022,0,0,0,none,0
