user_id,account_age_days,tasks_posted,tasks_completed,completion_rate,avg_rating,profile_completeness_pct,email_verified,phone_verified,id_verified,logins_last_7_days,distinct_device_count,ip_change_frequency,times_reported,fraud_type,is_fraud
ad291650-e40d-429f-ad29-f127021e7cf1,280,46,39,0.848,3.6,98,1,1,0,25,1,0.098,0,none,0
14087545-aa1d-4772-bedf-ac61f65b889c,731,45,41,0.911,4.7,84,1,1,1,14,1,0.142,0,none,0
49384372-8272-4ce7-9f29-be3aa50b9357,648,74,51,0.689,3.7,82,1,1,1,17,1,0.128,1,none,0
3fe88900-5165-4861-a99e-7958b7a72cf0,288,5,2,0.4,4.1,84,1,1,0,6,1,0.071,0,none,0
6b58903a-893b-41a4-8ad1-ce1a23ad557f,425,38,19,0.5,4.3,71,1,1,1,3,1,0.078,1,none,0
18f01de6-2c13-4935-9da5-ec9f86292661,836,62,40,0.645,3.6,77,0,1,1,5,2,0.032,1,none,0
3d0f36b0-b4be-41ee-99ad-9e8ca7153a05,972,41,7,0.171,4.5,92,1,0,0,6,2,0.002,1,none,0
6601b675-1c27-4271-b51e-db26850f46eb,983,83,4,0.048,4.4,96,1,1,1,29,1,0.077,1,none,0
892c6506-8330-41cc-9928-2566840b49a9,516,71,34,0.479,4.6,67,1,1,1,23,1,0.012,0,none,0
3337a8dc-4bce-4d10-9cd0-202ee25625ab,261,3,2,0.667,5.0,69,1,1,1,13,1,0.028,1,none,0
b0bf331b-8239-4b28-b1a3-02e9420291f6,682,35,20,0.571,4.8,98,1,1,1,16,1,0.094,1,none,0
2271fa28-621a-4a8d-832d-ecf4c7e670f8,54,19,16,0.842,4.7,97,1,1,1,6,1,0.036,1,none,0
eb95d4c4-d69d-4d39-a023-6c814c40b539,983,43,20,0.465,4.5,84,1,1,0,14,1,0.124,1,none,0
447df1eb-5d75-4841-a8d2-67dc8ac03582,5,3,1,0.333,0.3,17,0,0,0,2,10,0.931,6,stolen_identity,1
5fe38f3d-0f42-4d22-a261-aaed2bea0e25,716,70,22,0.314,3.7,77,1,1,0,16,2,0.018,1,none,0
946f08ba-f3a9-4133-a1ea-7e43e97e5334,182,1,1,1.0,3.8,75,1,1,1,22,1,0.031,1,none,0
53cf3556-15f9-4c69-942f-6be43079a8a4,849,13,12,0.923,3.8,65,1,0,1,8,1,0.003,1,none,0
23fd2970-3e90-44cf-8e35-fb5bc7678551,400,1,1,1.0,4.6,73,1,0,1,7,1,0.061,1,none,0
2f991be3-7831-4b25-8dde-013fde7c4730,1,1,2,2.0,0.4,22,0,0,0,2,3,0.659,1,stolen_identity,1
1ab2f451-7b32-4a7c-a4c8-58117762bc61,721,18,16,0.889,3.8,98,1,1,1,4,2,0.04,0,none,0
458e8e1b-0130-4718-8bf6-c90ffba495fb,618,3,3,1.0,4.1,70,1,1,0,15,1,0.048,1,none,0
81aa9853-fb88-4d30-8709-52afa4ab68b0,728,81,26,0.321,4.6,97,1,1,0,9,2,0.035,1,none,0
f8eba79f-5462-40e9-90c1-150b9216bdba,862,99,80,0.808,4.7,98,1,1,1,19,1,0.014,0,none,0
5d1f5df2-ca6a-4b88-a7a7-43cfa78cbc62,7,0,1,1.0,0.9,40,1,0,1,0,7,0.792,6,fake_profile,1
eef535ec-7db3-44ae-943b-395654da7741,663,89,60,0.674,4.6,92,1,0,0,7,2,0.123,1,none,0
0d02fef6-5558-4eff-984e-53134a542676,58,40,6,0.15,4.5,74,0,1,1,13,2,0.031,0,none,0
