Category,Distance_km,Duration_hours,Is_Urgent,Price
Moving Help,14.6,4.5,1,192.88
Moving Help,8.1,3.1,0,146.92
Plumbing,11.1,2.5,1,150.05
Moving Help,10.6,1.1,0,129.16
Plumbing,18.2,3.0,1,164.59
Moving Help,1.2,1.7,0,121.03
Cleaning,5.7,3.5,0,96.94
Moving Help,4.2,4.7,0,154.72
Cleaning,7.4,2.9,0,89.66
Moving Help,16.9,3.7,1,195.76
Delivery,18.6,0.9,1,98.03
Cleaning,12.6,3.1,1,126.01
Moving Help,9.3,3.3,1,172.28
Delivery,14.3,3.2,0,94.32
Delivery,10.0,4.6,1,112.58
Cleaning,15.4,1.5,1,115.6
Cleaning,11.7,4.3,0,113.59
Moving Help,17.2,2.8,0,162.67
Plumbing,13.8,2.0,0,130.13
Plumbing,8.2,1.3,0,107.8
Delivery,13.2,1.4,1,88.88
Cleaning,18.5,2.6,1,133.98
Plumbing,9.8,0.9,0,108.19
Plumbing,11.9,0.8,0,110.2
Plumbing,5.2,2.4,1,135.97
Moving Help,14.1,3.0,0,162.0
Cleaning,14.7,2.2,1,118.84
Cleaning,19.6,1.2,1,122.83
Moving Help,4.8,4.9,1,183.29
Delivery,8.6,1.3,0,60.73
Plumbing,15.8,1.9,0,130.82
Delivery,8.4,2.8,1,94.15
Moving Help,18.3,2.8,1,180.97
Cleaning,8.9,1.1,0,83.1
Moving Help,7.8,2.4,1,157.16
Delivery,15.8,3.6,0,93.25
Cleaning,6.6,2.0,0,79.27
Delivery,8.0,0.7,0,54.15
Delivery,8.5,2.2,1,85.7
Plumbing,9.7,4.3,1,164.73
Plumbing,5.7,0.6,0,99.91
Cleaning,9.6,3.5,0,104.55
Plumbing,12.4,3.5,0,141.37
Plumbing,7.0,3.0,0,122.56
Moving Help,12.7,3.8,0,166.92
Plumbing,19.7,3.8,1,173.9
Moving Help,12.4,4.7,0,174.25
Cleaning,7.8,2.1,0,89.87
Plumbing,14.9,2.5,0,136.27
Cleaning,4.3,0.8,0,69.41
Cleaning,9.5,0.6,1,92.89
Delivery,18.7,0.6,0,76.3
Delivery,17.3,2.0,0,81.79
Plumbing,5.1,3.1,1,141.39
Moving Help,12.5,0.6,1,148.92
Delivery,19.3,2.0,1,106.95
Moving Help,7.7,3.4,0,147.65
Cleaning,19.1,2.5,0,111.14
Moving Help,8.8,4.6,0,161.46
Delivery,8.3,3.8,0,88.79
Moving Help,8.7,1.2,1,146.69
Moving Help,10.3,2.4,1,161.74
Delivery,12.8,0.7,0,58.61
Cleaning,3.7,3.3,1,111.34
Cleaning,9.1,2.9,0,98.37
Plumbing,5.1,1.6,1,130.84
Plumbing,13.8,4.6,1,175.82
Moving Help,12.8,2.8,0,151.94
Delivery,8.9,3.4,1,97.19
Plumbing,15.5,0.5,1,136.06
Cleaning,5.1,4.8,0,106.28
Moving Help,15.2,3.0,0,164.41
Cleaning,7.6,4.8,1,129.1
Plumbing,17.3,3.7,0,152.69
Cleaning,15.1,2.0,1,124.02
Plumbing,9.7,4.1,1,158.71
Delivery,12.4,4.8,0,99.09
Cleaning,9.0,1.7,0,80.63
Cleaning,5.6,1.6,0,82.08
Plumbing,16.1,4.4,1,177.29
Plumbing,12.2,1.0,1,135.57
Plumbing,5.1,0.9,0,101.19
Delivery,12.8,3.7,1,117.38
Delivery,15.9,2.7,0,84.23
Cleaning,8.0,4.0,0,106.33
Moving Help,10.1,4.9,1,186.72
Moving Help,20.0,3.0,0,170.82
Cleaning,9.8,4.3,0,114.78
Moving Help,10.6,3.9,1,179.17
Delivery,8.5,4.6,1,115.62
Cleaning,14.0,3.6,0,116.9
Cleaning,10.5,1.2,0,79.9
Plumbing,3.4,3.0,0,114.34
Delivery,2.3,4.9,0,87.77
Plumbing,14.1,2.9,0,141.27
Delivery,3.4,4.3,1,103.08
Cleaning,8.4,2.4,1,109.72
Plumbing,2.3,1.5,0,97.29
Plumbing,14.8,1.3,1,146.74
Cleaning,11.1,4.9,1,138.1
Plumbing,2.4,3.8,0,120.53
Moving Help,18.4,2.9,1,182.62
Delivery,2.1,3.5,0,66.57
Delivery,2.4,4.6,1,100.36
Delivery,19.0,0.9,1,97.28
Cleaning,4.1,1.2,1,90.13
Plumbing,1.4,3.7,1,144.32
Delivery,17.4,4.9,1,133.76
Plumbing,18.8,1.7,1,154.1
Plumbing,16.9,2.9,1,166.92
Cleaning,7.2,3.0,0,99.29
Plumbing,18.0,2.5,0,137.87
Cleaning,12.2,0.5,1,104.06
Cleaning,12.1,3.9,0,110.35
Moving Help,18.1,4.5,1,200.52
Moving Help,9.8,5.0,1,185.0
Moving Help,3.0,4.3,1,171.47
Plumbing,16.0,5.0,0,160.77
Delivery,6.4,1.9,1,77.92
Plumbing,11.4,2.7,0,127.66
Plumbing,9.7,3.9,1,162.62
Plumbing,8.1,2.2,1,136.2
